stats_player_id,player_name,player_name_short,team_name,match_status
f0di7b4deansqynymoalkfs9h,Otabek Shukurov,Otabek,Bani Yas Club,confirmed
1pg0b32xb9230zit0ndyd79ih,Selim Amallah,Selim,Khorfakkan Club,confirmed
c59mz9bql881u29nhwuze2imt,Andreas Beyer MaxsÃ¸,Andreas,Al Ittihad Kalba,confirmed
9x2p9h8zzonnfnjq7psh0xpsl,Khalid Eissa,Khalid Eissa Mohammed Bilal Saeed,Al Ain FC,confirmed
3c1m30r6afe6p757x4jrb651w,Marcelinho,Marcelo JosÃ©,Al Dhafra FC,confirmed
50ko80szzcc9z3q4lnoghwuay,Eisa Al Houti,Eisa Ahmed Eisa,Dibba FC,confirmed
7ep8wv00kvnuln01h347osd90,Mohamed Awad Alla,Mohamed,Al Ain FC,confirmed
d9q8xm6j0avktshbuw82x5yc4,Ali Almemari,Ali Mohamed Saeed Mohamed,Al Jazira Club,confirmed
6mujhf0gz4dviowpil1bsyk4q,Bernardo Folha,Bernardo,Al Wahda FC,confirmed
3bign1pwxl6kwk38n6v1p12zu,Yousif Ali Al Mheiri,Yousif Ali Bakhit,Al Wasl Club,confirmed
6cmj4eof26kvrlxsqra25fevo,Abdoulaye TourÃ©,Abdoulaye,Al Nasr SC,confirmed
boelvovyss7ns19vdfsqe2jo4,Dimas,Dimas CÃ¢ndido,Al Wasl Club,confirmed
6coyybit0i45dhhx3iddfud49,Ulrich Sidoine Meleke,Ulrich,Al Bataeh Club,confirmed
7sedwtw16nm2tr4496xu6qvop,Willyan Rocha,Willyan,Al Jazira Club,confirmed
52pjfusbbl3psyqr8mr4su2vo,Jean Frederic Kouadio N'Guessan,Jean,Khorfakkan Club,confirmed
bihvd1d6719ig474uht8gizv8,Cheickna Doumbia,Cheickna,Al Nasr SC,confirmed
87ccrt89k5abyjisix22g08ut,Tarik Tissoudali,Tarik,Khorfakkan Club,confirmed
et5rbk26qq1abg5bpp95m9gq,Erik,Erik,Al Ain FC,confirmed
6m2pk6odyb3atayt6u8cifahh,DuÅ¡an TadiÄ‡,Dusan,Al Wahda FC,confirmed
b4242kyvp6pyp4ev8oncjvvv8,Vitor Moura,Vittor Richardh,Al Dhafra FC,confirmed
19knymk65ck73ulcdids4mhhw,Ahmed Mohmed,Ahmed Mohmed Ahmed,Al Bataeh Club,confirmed
4hp2etc4u6m4fsiw2j8zhn1uc,Bernard Babacar Faye,Bernard,Bani Yas Club,confirmed
59pu8nnghyxvvt8r3zyndpfpx,Sardar Khalil Azmoun,Sardar,Shabab Al Ahli Club,confirmed
c7ovz57mq02d455vy57tsnqj8,Abdallah Hausawi,Abdallah,Al Wasl Club,confirmed
dsubegbzg4tbxnb1mh12g9zx0,Jamal Khalifa,Jamal Khalifa Sabaih Belal,Al Nasr SC,confirmed
5v560baef0msjwluvrlvmmhw4,Hazem Abbas,Hazem Mohammad Abdullah,Al Ain FC,confirmed
d0f2mo6oeq2jm4jml6tdmv1be,RÃºben Canedo,RÃºben Filipe,Al Wahda FC,confirmed
2xkudoxz92f1vgbjlsbfum3f9,Alejandro SebastiÃ¡n Romero Gamarra,Alejandro,Al Ain FC,confirmed
enzgg9uhno99lg2szd46rlf1m,Mackenzie Hunt,Mackenzie James,Bani Yas Club,confirmed
9e5dxhb15mjszg9mib04ve5zp,Hamad Mohammad,Hamad Mohammad Ibrahim Hassan,Al Bataeh Club,confirmed
f2h8tix2lsxc98oxw784hr2fo,Mohamed Al Wafi,Mohamed Abdalla Salim Mubarak,Al Jazira Club,confirmed
dm4u3h6tscetb22aye7h08iqd,Nouha Dicko,Nouha,Al Bataeh Club,confirmed
ephkipst13iupo89xtc34639w,Ismail Moumen,Ismail,Ajman Club,confirmed
2cw8jzfrgd3rsh3z8wxgvdppm,Zayed Sultan,Zayed Sultan Ahmed Jassim Ibrahim,Al Nasr SC,confirmed
8ldhvym10uv7jp333phg81jhl,Waleed Azaro,Waleed,Ajman Club,unmatched
6pdot7vpzbmzs3282qo4j8yqd,Sultan Al Shamsi,Sultan Saeed Suwaid,Khorfakkan Club,confirmed
bqnbkan2a7xguqrpfainttqtw,Abdulazeiz Haroun,Abdulazeiz Haroun Ahmed Omar,Khorfakkan Club,confirmed
exprd3pj4mw2ts04xd9n6oil0,Bryant JesÃºs Ortega Carmona,Bryant,Khorfakkan Club,confirmed
4ra6p2vedgegdwfct3ai5rpck,Zaid Osama,Zaid Osama,Al Nasr SC,confirmed
3puiid8lk88selvcxu1npnj84,Obaid Raed,Obaid Raed,Ajman Club,confirmed
74xu5mup3fj77wf3yk4rtjd62,Abdulaziz Al Hamhami,Abdulaziz Hamad Saleh,Al Ittihad Kalba,confirmed
37w3sr3mp37gqoiez2w3uwzkk,Nicolas Clemente,Nicolas,Sharjah FC,confirmed
3el8eqmgsjmw72u75c68l8ell,Mohammed Al Attas,Mohammed Omar,Al Jazira Club,confirmed
2ujwrzb5jj4jphe79h55qzr6y,Luanzinho,Luan,Sharjah FC,confirmed
bu9pjk71n8dzvtddno11pve38,Feta Fetai,Feta,Sharjah FC,confirmed
8wkskhlt6zg6pwq8wqais7gbu,Ahmed Fawzi,Ahmed,Bani Yas Club,confirmed
98e82m5ohfrsmjvhfctuecjys,JoÃ£o Alves,JoÃ£o Victor,Al Wasl Club,confirmed
5v9fulzksenk899akuygv7l78,Dhari Fahad,Dhari Fahad Mousa,Sharjah FC,confirmed
bepcao7uiozczrxbhc7fjjis5,Iago Santos,Iago,Dibba FC,confirmed
c8wgl8svcjtner909k3bhlz6y,Hugo,Hugo,Al Wasl Club,confirmed
82rn36pq4yt1k4fml6b0pi8k5,Kodjo Fo-Doh Laba,Kodjo,Al Ain FC,confirmed
6p74u65bn4baikq9ewgz1yq6s,Leandrinho,Leandro Viana,Sharjah FC,confirmed
tjggt6qhm2joz32lgzowpknp,Federico NicolÃ¡s Cartabia,Federico,Shabab Al Ahli Club,confirmed
388zxk5jwaqluqdftj5hm8ems,Rashed Mohamed,Rashed Mohamed Khamis,Dibba FC,confirmed
bgmokvel0cwgp7dm6krympxxw,Ahmed Sulaiman,Ahmed Sulaiman Ali Dabi,Al Bataeh Club,confirmed
ba00xfn9b6opq1ahh3xwolawa,Mohamed Al Junaibi,Mohamed Ismail,Ajman Club,confirmed
17xh503wqwdvewx5zujn740yx,Khaled Ebraheim,Khaled Ebraheim Helal,Sharjah FC,confirmed
7wmlbapoycg32svev46yko3px,Mohammed Bu Sanda,Mohammed Saeed Bu Sanda Ahmed,Al Ain FC,confirmed
6quvo779io42g1lklt7np0vtg,Kouadjo Alexis Koffi,Kouadjo,Al Ittihad Kalba,confirmed
170eigv0mpqxwhiq3hwu0ielm,Abdelrahman Rakan,Abdulrahman,Ajman Club,confirmed
9gqwsw146j43n8fs7ehhserfu,Leandro Spadacio,Leandro,Al Ittihad Kalba,confirmed
3tk6eh3uydyoxgh3ivyyzz5d5,Ahmed Al Naqbi,Ahmed Amir Saeed,Al Ittihad Kalba,confirmed
e9c0v3ik308t91njildxzc6vp,Mu'nas Dabbur,Mu'nas,Bani Yas Club,confirmed
9dvvxx0na36cofsmn7wdxkpd6,Issam Faiz,Issam,Al Nasr SC,confirmed
3yvnmw9ehrrl5dutxoxqhirro,Kayque Campos,Kayque,Khorfakkan Club,confirmed
w0n33eu2ugljxtgx06nef95g,Brahian Palacios Alzate,Brahian,Al Wasl Club,confirmed
cm2j7efj9nlo9bwf3vvjyk4mi,Abdullah Al Mukhaini,Abdullah Khamis Juma,Dibba FC,confirmed
